"","test_base.user_id","test_base.days_active","test_base.greater_than"
"1","61QBXC-LNOUT1-8GVP21",5,"1"
"2","6R7OM2-G84U2H-08UDRV",3,"1"
"3","R582YM-HJCP18-9HQG7C",5,"1"
"4","AXOQDL-9D3UZI-N9H14F",4,"1"
"5","3ARIJC-G0YSU3-IJDMAH",6,"1"
"6","OHXB24-LCR0JE-870BF6",4,"1"
"7","TAOWJ5-OJBVZ7-XL7K3B",4,"1"
"8","RO0DB9-2CZVXK-FAQE0W",6,"1"
"9","YEGNSX-1V3PEI-G584K7",5,"1"
"10","DX5YMG-XB7AF6-HCK75Y",5,"1"
"11","CW0M4F-QSXC0A-952LN7",5,"1"
"12","QPWUF5-R93QE5-FJ7Y6P",4,"1"
"13","CP2FJU-8ZVATM-SC9H13",5,"1"
"14","YLA5JB-7RCK3I-GPSRU7",6,"1"
"15","L3QY40-D3RJ4B-FUYNM5",4,"1"
"16","5QNBMA-5UWZS2-FEZL1C",3,"1"
"17","OYMS6X-GWSHY3-LPZDK0",5,"1"
"18","TKJ1Q8-LODQG9-KFERM8",5,"1"
"19","TM1Y9U-INP64F-YSXT9Z",5,"1"
"20","1DUQ8L-W8KHRP-XYMRFE",3,"1"
"21","H4NV6D-UQWYDL-2UQ1OV",4,"1"
"22","Z60C8M-9T2PNQ-OIT46P",4,"1"
"23","8E7PQW-VAS8LY-CXH091",4,"1"
"24","E42CR9-SDWJZN-0ZYP62",5,"1"
"25","57W483-LVJI1O-GMQEWI",5,"1"
"26","B7DRQX-74K2YP-MQVHJ6",3,"1"
"27","F781DQ-V3UZBI-RK0E42",5,"1"
"28","AYN7MW-7OKSH0-64CKFT",5,"1"
"29","KG6VAB-DOXHFY-JSFY3U",5,"1"
"30","G9WE12-9WXIBH-8JDVES",3,"1"
"31","P1T7FH-4Z5NTJ-7VKR1W",5,"1"
"32","K2TCHW-VW4691-X2AQVZ",3,"1"
"33","Z8EKQW-CNG24D-X0NEQ6",5,"1"
"34","UKCA2F-O61QV2-SMUDIY",5,"1"
"35","2HC5EN-DVL0GJ-FTQLRG",5,"1"
"36","HTQUKI-BDO0H9-UFQKZR",3,"1"
"37","MD529I-KXE9MU-R91NFG",4,"1"
"38","QYPT84-MLSTWF-F90UD8",4,"1"
"39","TUQ39P-HAEP45-D6IL51",6,"1"
"40","RYIGDQ-5RD7GU-GP0IX5",5,"1"
"41","AQ28W3-SU2075-ETUDZR",5,"1"
"42","RA2OC4-KOXMAY-BNJ42T",4,"1"
"43","7HJ0GQ-OTVMF4-2NQPSA",3,"1"
"44","RQHD6E-TWNLRB-WL5OYX",4,"1"
"45","8XCP9U-DZCPB0-EBMGH3",6,"1"
"46","Z4VTDH-HYPVLW-B6XQ47",6,"1"
"47","XS31ZJ-YF6HDQ-WIFN2G",6,"1"
"48","G0MO29-X8AF26-S0VYX2",5,"1"
"49","TOAP62-VMSP02-G8061F",6,"1"
"50","2VND7T-JBWMHN-V8OLZK",4,"1"
"51","O59IQU-AH0D2M-4VLTI9",5,"1"
"52","E56F8H-QM15KA-8UWKOF",4,"1"
"53","HQ97Z3-0P5FO7-VAZTWN",4,"1"
"54","69MOZX-P39XVM-J0TQ41",4,"1"
"55","YPMLIV-WP2VZ4-0BIVYN",4,"1"
"56","9VFL8U-0KMPLZ-EX5UM2",4,"1"
"57","7B2P8R-CFD4QA-WPGVOY",4,"1"
"58","J6O4ZF-T32NSB-NSBI9K",6,"1"
"59","SDYU2Z-CRUJH0-YK527N",6,"1"
"60","L5TAD3-2DNMTR-IMZBYU",7,"1"
"61","ER4QW7-S6Y9IL-VWNLI2",6,"1"
"62","ZT4JFG-XTW8DF-3RAB7M",5,"1"
"63","06JOHI-TK9A1W-OHEFUA",5,"1"
"64","94SVW2-WRSCJF-AOMQ4L",5,"1"
"65","B7QS4O-9XA1P2-8KYWS9",5,"1"
"66","NSCW23-DLE7BX-6KXBS9",3,"1"
"67","QK6LHE-KWME5L-KZB5LH",5,"1"
"68","7VRAF6-UZMIR3-7NS23O",5,"1"
"69","JGL1YR-NSAP5Q-31WX2K",6,"1"
"70","TC4DHA-RTQKI3-B7CX5G",4,"1"
"71","MTALHE-GD1LQK-A0TKID",5,"1"
"72","ZOTYHE-0PBKVR-Y5BQ6R",5,"1"
"73","ZQUE1Y-VC9NOB-6W9TXJ",6,"1"
"74","70TO51-P5MWSJ-0VHNWR",4,"1"
"75","J53MC1-RA73ZF-G6COVR",4,"1"
"76","48G2YQ-1VNEAO-RZ6KE4",6,"1"
"77","RPANFG-85JVN1-PBU59Q",5,"1"
"78","MRTH1X-ZDMIRK-3BR7VZ",4,"1"
"79","FYX2CB-4VE0CK-Z8YF0H",3,"1"
"80","1G0VYH-F26B8P-45PN9C",5,"1"
"81","JM9ESC-ZR709J-YJGT2L",6,"1"
"82","OP3U9Y-V6L7TI-I1XHG0",4,"1"
"83","CIBMDS-RYPCB6-BYLSU7",3,"1"
"84","2963F1-ZJY7TK-X6ZCFL",6,"1"
"85","N8YMEV-IQWYGP-P0Q1SZ",5,"1"
"86","JCNH3K-A4DRCK-529PV4",5,"1"
"87","OCMJL9-C0HF4W-5TYV3B",5,"1"
"88","C0XN2F-JRF9NL-AVOE8N",3,"1"
"89","HGDYTN-4LXS3W-2KN7XB",3,"1"
"90","PHY52O-1FHSPL-EYOFWS",4,"1"
"91","BO5X4M-AMPC26-EMSGDK",6,"1"
"92","F31KMO-JZTAQO-5CMUF9",6,"1"
"93","S4HPVD-86MZKX-1AB9CK",4,"1"
"94","89GMTS-VT8R9O-PM1T8N",6,"1"
"95","JPARSU-182YT4-J2MTGD",4,"1"
"96","WHGLB5-6HR4M9-Z5XTYN",5,"1"
"97","IGPRBW-X1A07B-0TIOFG",5,"1"
"98","SA3N1G-LZNJCT-QEC1YR",4,"1"
"99","JRH6KO-2SKDMV-ONH5EC",4,"1"
"100","7R4HW2-1LHMKE-AHW7XO",3,"1"
"101","S4NP50-146T0U-AR751N",5,"1"
"102","EOCAQU-LYK6XJ-SZYVI1",5,"1"
"103","XYBD9E-DFQPS3-GYZL36",5,"1"
"104","X3LFOI-3KWODF-3OQ5GK",5,"1"
"105","V8QLBF-L8PCGX-AYZ0KM",4,"1"
"106","YBGJOQ-V2D8RW-JD1HC0",4,"1"
"107","51EWHP-9RK5EF-D635IT",5,"1"
"108","OCYABS-U2KGC4-WU5XA8",5,"1"
"109","P9FTDQ-6DKOMH-3E0TJN",4,"1"
"110","LCHBW4-XMOR13-9LJWMG",3,"1"
"111","OJ7WG5-6VMONL-8GBZIH",5,"1"
"112","R8PUEW-JH65T8-3RIF4A",5,"1"
"113","C0IR6X-CJH357-LYVE8U",5,"1"
"114","836SVZ-2K3JFV-PD6249",5,"1"
"115","XB7TPN-M7BZAQ-OMAI7B",5,"1"
"116","JGKDHI-CIZHFT-4BSE91",6,"1"
"117","C5JXY2-IEJ2CM-RB746Z",3,"1"
"118","O92FPA-ZQ4HLW-A8FSJ7",4,"1"
"119","DXTA61-Y7ZXLS-PU9AKM",4,"1"
"120","2I7FJ8-GJ4017-U35ADN",7,"1"
"121","XSUA5Z-NY7FSC-QZE3FV",6,"1"
"122","02FGVR-JVQ5HL-Y5KZ12",5,"1"
"123","Z8CQLJ-5S1GKR-M80Q7F",5,"1"
"124","54OMCQ-WMAFX8-68IJW1",6,"1"
"125","UPCHEB-BTF83R-WJYUCT",4,"1"
"126","JEPHI8-04XOLQ-BWCV86",4,"1"
"127","TYZQ72-XNOB6J-DW4FSA",2,"1"
"128","4Z5LN0-MVYS5P-U4GX5E",4,"1"
"129","X3QEVR-RCL2QO-0JS9W1",6,"1"
"130","TCG72U-ME09NG-DOTF1L",4,"1"
"131","5B9Q4C-NXCU4S-H2Z1P7",4,"1"
"132","JVFIBC-MZ4N6L-NIYRSW",5,"1"
"133","JYGEX8-CWLJPF-ATC7M0",4,"1"
"134","6T1M07-4N1T98-ULDRP2",5,"1"
"135","FWA27T-IUXQ7D-GJ9NCB",4,"1"
"136","BJVK3E-86R1U4-MN6LP4",3,"1"
"137","OZ8MW6-V42EL8-RFWK73",3,"0"
"138","4OFN1V-RVJSMA-R6U3IF",3,"1"
"139","T6AKLC-JGF8ZE-FN8PCV",2,"1"
"140","RNSZM2-JE6K19-CKA67M",4,"1"
"141","Q9GAXJ-TZC7NS-GIOCKB",3,"1"
"142","RO48D0-X1ZC68-7L4CS8",3,"1"
"143","6DPQKO-IO5VJE-3Q4ECT",5,"1"
"144","BX0VRW-KFLORJ-Y734R2",5,"1"
"145","OHN4F9-WQDXNT-POX0BK",4,"1"
"146","WFGIHN-VMY7ZI-GTE3SF",4,"1"
"147","8IGYVO-CEUND8-3SPEML",3,"1"
"148","HYOPAX-JXPQO2-OY0BUZ",5,"1"
"149","X7WLEV-LTEXHW-VXDALK",2,"1"
"150","NXGOSV-I74ZWT-JUOZ54",4,"1"
"151","NG0135-T03ZQ9-NG963R",4,"1"
"152","YLZB82-HEACRL-W629DJ",2,"0"
"153","RIOK3B-BZ1P7S-QK6D2W",3,"0"
"154","NLM4QB-KGO04X-6JWE8K",3,"1"
"155","31SNUJ-9A8PBC-QPYO5T",4,"1"
"156","56LQRA-UTPZYC-8ZUDWG",3,"1"
"157","TOUSHY-D583WX-43SM2Q",2,"1"
"158","L2XUGC-KNH749-XLHAJ5",2,"1"
"159","V457N2-KXTZ8Q-SZCJOB",3,"1"
"160","ZOMIGP-9J4C6P-L4GN7D",5,"1"
"161","1GVZFW-PK3MDH-B9C1U3",5,"1"
"162","UQTOFG-LH2N6C-DOMVN7",2,"0"
"163","CQ7Y1B-8IZ961-QZM48J",3,"1"
"164","2YDXZS-MNUHGX-LY752O",3,"0"
"165","RZAMU7-M8VYE1-O1YFUD",2,"0"
"166","X37WRK-CQ8SAZ-E6G4B8",3,"1"
"167","2RA9P1-P7G2B9-MJ6IGW",3,"1"
"168","Z1IP50-TL4021-28G61R",3,"1"
"169","YUTFWK-2SHMEJ-4W5FHB",2,"0"
"170","3PTINL-IJL8UN-IJWQTA",4,"1"
"171","RSH7JB-69DRP8-NE6SY3",2,"0"
"172","YLRPIK-B07Q2H-C3W8HB",3,"1"
"173","PFCDGR-AEDU7H-1IR9GP",3,"1"
"174","1J2MPW-1F3RYG-1DT8B7",3,"0"
"175","D1EBTL-7HF0BT-5N7P2D",2,"0"
"176","N3O2WK-CF2SAX-NZ1JGW",3,"1"
"177","03VNSE-JKPU1I-U5NDOH",2,"0"
"178","1LECM2-RFP617-OTZY4V",2,"0"
"179","TH91SL-N0XYEZ-CN75Y6",3,"1"
"180","89NFDG-7BMP1S-WU3NVF",3,"1"
"181","GI6NRX-6O7Z18-X925HA",2,"0"
"182","YTWCAS-51RZJP-HYZD43",3,"1"
"183","YRDX5S-7SAPYO-3P1DSU",4,"1"
"184","A9DP7E-IT6WJV-R1WB9D",2,"0"
"185","PJXNL4-VRIPBY-WHZOUX",4,"1"
"186","GHL7D5-FKUH6S-XT8GKS",3,"1"
"187","HTFC9D-WY6ZBC-KF049L",2,"0"
"188","L3Y5XJ-5FLAVN-WDJMQH",3,"1"
"189","2ERFGB-JN4GKX-Q2CPZM",4,"1"
"190","4H0KIL-7P6MBR-XRJOF2",2,"0"
"191","QE82GB-MLIW7O-1BJCSF",4,"1"
"192","IULYF1-CUYI9M-7VUETY",3,"1"
"193","3ENG9T-H7PVOR-6UAS32",3,"1"
"194","QC30TD-OITJFW-8TN1C9",4,"1"
"195","4H0TZN-40SAZ3-L7I1U5",3,"1"
"196","TZO8YN-ITUXWS-SCFQL3",3,"1"
"197","5THYXE-UI09WC-5S6FAQ",4,"1"
"198","86JDO4-ANF256-E1F28P",2,"0"
"199","7UQD3K-I7N03X-MNTKC7",3,"0"
"200","M1EWU9-T7QIPD-UCGJZ4",4,"1"
"201","DPQ0TK-NHO4JC-X3GBUD",4,"1"
"202","8JMEBP-4ZXJLW-CMNVKI",4,"1"
"203","0YXPE9-CP5VSQ-0G3XCV",5,"1"
"204","ODA3JN-Q23SGZ-XHLG5B",5,"1"
"205","JHFZPW-43TEQS-G5EAB6",2,"0"
"206","J3GE08-CJKH1U-PFQKXL",3,"1"
"207","0FITUD-7W08ES-ME2IDR",3,"1"
"208","HBRUDY-0ZH4AM-0X2VLU",4,"1"
"209","RQ9BS8-O10KFA-8T49UH",2,"0"
"210","G1Z2LU-GW7BEX-AUR2W0",4,"1"
"211","8KEMYT-BDKVYT-0PCG36",4,"1"
"212","R73QFW-9MQ1XT-0JBP5O",3,"1"
"213","B6ZT0Q-2GRVCO-TW501G",3,"1"
