user_id,install_date,country,device,session_count,ttp,last_moment,unit_count,revenue,try_1,try_2,try_3,win_1,win_2,win_3,days_active
D397PW-HC4XQE-19UNBO,2016-10-01,TR,iPhone,1,180,1475353329,NULL,NULL,0.0,4.0,0.0,0.0,3.0,0.0,4
VG7AJ8-AVN67M-MV934W,2016-10-01,CN,iPhone,1,400,1475351338,NULL,NULL,0.0,16.0,0.0,0.0,1.0,0.0,1
1PU8LJ-3048EC-GW2D3R,2016-10-02,US,iPad,3,1277,1475450107,NULL,NULL,8.0,21.0,1.0,8.0,14.0,1.0,5
9I6ZMT-92T6Y0-SZ5W96,2016-10-02,TR,iPhone,9,2407,1475443148,NULL,NULL,1.0,27.0,6.0,1.0,21.0,3.0,1
NVQDOK-5J2YVU-4XGKTF,2016-10-01,US,iPhone,13,7457,1475366382,3,95.13,9.0,48.0,8.0,5.0,33.0,7.0,8
O8XPJ5-QTL8AR-8TCZ2O,2016-10-02,US,iPad,6,1946,1475444021,1,13.59,1.0,14.0,0.0,1.0,12.0,0.0,8
HN2V4K-AJ3RWZ-18KY24,2016-10-01,FR,NA,1,421,1475328479,NULL,NULL,2.0,8.0,0.0,1.0,6.0,0.0,1
KJBWXH-XU6RA4-E5XK7F,2016-10-02,US,iPhone,18,3090,1475450473,NULL,NULL,1.0,22.0,6.0,1.0,18.0,3.0,8
TF68GE-VMWA9C-MP265J,2016-10-02,US,iPhone,2,1984,1475420499,NULL,NULL,4.0,32.0,0.0,3.0,9.0,0.0,1
FQ68HG-R30LS4-0FDPMQ,2016-10-02,US,iPad,1,807,1475432044,NULL,NULL,3.0,9.0,0.0,1.0,4.0,0.0,1
YLB04Q-AJDECR-7STVW4,2016-10-01,BR,iPhone,4,999,1475366399,NULL,NULL,2.0,8.0,0.0,1.0,8.0,0.0,8
69XRTV-F91BEJ-90467W,2016-10-01,FR,iPhone,10,3134,1475324549,NULL,NULL,1.0,24.0,3.0,1.0,14.0,1.0,8
1I0HEL-D5K87E-OZRDP2,2016-10-01,FR,iPad,2,526,1475334495,NULL,NULL,0.0,4.0,0.0,0.0,3.0,0.0,5
9UJRL0-Z72PFE-7186EF,2016-10-02,US,iPhone,3,719,1475447825,NULL,NULL,3.0,11.0,0.0,1.0,6.0,0.0,2
RPKMIU-FQVP48-YPWLGH,2016-10-02,US,iPhone,2,783,1475447703,NULL,NULL,1.0,9.0,0.0,1.0,8.0,0.0,2
2Y1AVC-KHS8ID-4I2TU8,2016-10-02,CN,iPhone,9,1624,1475438910,NULL,NULL,0.0,36.0,0.0,0.0,7.0,0.0,5
CEVQU1-SGIW2L-3EUY8G,2016-10-01,US,iPhone,2,412,1475340574,NULL,NULL,2.0,6.0,0.0,2.0,6.0,0.0,3
SEJAV9-1ZTGD8-Q3WNGO,2016-10-02,GB,iPhone,3,695,1475427428,NULL,NULL,2.0,11.0,0.0,2.0,8.0,0.0,1
KWVOPG-WLRS6D-CZ0O4I,2016-10-02,US,iPhone,12,3266,1475452462,NULL,NULL,1.0,28.0,2.0,1.0,21.0,2.0,7
YN7IOQ-B3WQF6-XO93IA,2016-10-01,GB,iPhone,1,950,1475333898,NULL,NULL,2.0,7.0,0.0,1.0,6.0,0.0,1
HWVLZB-JYH1LD-EZQ1F7,2016-10-02,US,iPhone,1,30,1475439482,NULL,NULL,0.0,1.0,0.0,0.0,0.0,0.0,1
5VRHP3-4GSKMU-U4BYQ8,2016-10-02,US,iPhone,1,6,1475385147,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
T3I8X0-4SOH25-9WA1X5,2016-10-01,FR,iPhone,12,5451,1475359280,NULL,NULL,4.0,52.0,4.0,4.0,39.0,2.0,4
QED3U0-EMA9RP-YNUOR4,2016-10-02,FR,iPod touch,7,3254,1475429503,NULL,NULL,5.0,35.0,1.0,3.0,21.0,1.0,5
IRP6U8-24L0O5-FTLAK7,2016-10-01,US,iPhone,8,1762,1475354133,NULL,NULL,3.0,32.0,0.0,1.0,4.0,0.0,2
CRXLPQ-QFUSBA-UCNE0T,2016-10-01,FR,iPhone,1,1442,1475314788,NULL,NULL,1.0,27.0,0.0,1.0,20.0,0.0,8
DU9HLW-0YHDAX-0IQX9W,2016-10-02,US,iPad,3,1262,1475452577,NULL,NULL,7.0,8.0,0.0,5.0,5.0,0.0,1
E7WH3Q-E1J9SO-7Q2GAE,2016-10-01,US,iPad,1,1761,1475297583,NULL,NULL,6.0,11.0,1.0,6.0,9.0,1.0,3
19HRVO-YD3LF2-HMYT94,2016-10-02,TR,iPad,12,5841,1475434182,NULL,NULL,3.0,50.0,6.0,3.0,36.0,5.0,6
TP3OWD-7QR5AB-DWOHIM,2016-10-02,FR,iPhone,1,236,1475401468,NULL,NULL,0.0,4.0,0.0,0.0,4.0,0.0,2
B7TXVF-QNIZBW-Q2JE04,2016-10-01,GB,iPhone,2,230,1475322174,NULL,NULL,0.0,4.0,0.0,0.0,4.0,0.0,1
KR01LG-VFCYMK-9CKPM0,2016-10-02,US,iPhone,1,338,1475428196,NULL,NULL,0.0,6.0,0.0,0.0,1.0,0.0,3
3L28FZ-FQA5PC-Z2NEUL,2016-10-02,FR,iPhone,1,358,1475433683,NULL,NULL,1.0,5.0,0.0,1.0,4.0,0.0,1
SM2976-9IZ6HE-XRF7P6,2016-10-01,US,iPhone,2,36,1475288826,NULL,NULL,0.0,1.0,0.0,0.0,0.0,0.0,1
A2O7CJ-OHBU98-QKUN7W,2016-10-01,US,iPhone,2,226,1475297970,NULL,NULL,0.0,4.0,0.0,0.0,3.0,0.0,4
AQPZOK-ZNLYPM-ASKYQT,2016-10-01,US,iPhone,1,7,1475312940,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
XD6T2O-TI8JBG-SIX6K3,2016-10-02,US,iPhone,5,2196,1475448913,NULL,NULL,1.0,32.0,2.0,1.0,21.0,2.0,3
6O8CIE-G2RS5H-JH9RCQ,2016-10-01,US,iPhone,21,3672,1475347501,NULL,NULL,7.0,34.0,3.0,7.0,26.0,3.0,8
FIU4DB-UYO7X9-J69VC5,2016-10-01,FR,iPhone,1,806,1475357916,NULL,NULL,5.0,12.0,0.0,3.0,8.0,0.0,2
PHY4ER-NEBGDK-7DE5AU,2016-10-01,TR,iPhone,1,809,1475337190,NULL,NULL,1.0,16.0,0.0,1.0,8.0,0.0,1
KNM2TD-ZEUT8A-VKSGXH,2016-10-01,GB,iPad,1,373,1475338986,NULL,NULL,1.0,8.0,0.0,1.0,5.0,0.0,5
SNRDM0-FHG960-UNLMB5,2016-10-01,US,iPhone,1,1477,1475365729,NULL,NULL,1.0,24.0,0.0,1.0,10.0,0.0,2
BIEFVG-3IMS2O-B5PUZ8,2016-10-01,US,iPhone,1,7,1475293975,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
TH5C3X-SYWID0-X1QFWC,2016-10-02,US,iPad,5,2654,1475389614,NULL,NULL,16.0,17.0,2.0,8.0,12.0,2.0,7
U2GJ4L-0GY2HV-D6SPBA,2016-10-02,US,iPad,4,2852,1475452153,NULL,NULL,1.0,45.0,0.0,1.0,20.0,0.0,5
BZTFIH-M8ZGHD-643510,2016-10-01,US,iPod touch,5,560,1475364947,NULL,NULL,0.0,10.0,0.0,0.0,2.0,0.0,3
J6VGYT-NWR5I7-RNWGES,2016-10-01,GB,iPad,1,1055,1475338131,NULL,NULL,1.0,21.0,0.0,1.0,7.0,0.0,1
CTRBFD-ZUG570-OTUI3S,2016-10-01,US,iPhone,1,7,1475288494,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,2
OGSNMA-DNQOKB-SUVKRA,2016-10-01,US,iPod touch,2,2261,1475356964,NULL,NULL,3.0,28.0,0.0,2.0,12.0,0.0,2
3X72HO-CB2MTE-1UMESB,2016-10-02,CN,iPad,4,2443,1475442127,NULL,NULL,35.0,18.0,0.0,14.0,5.0,0.0,3
MQ9Y2C-IVR58E-3PIMGL,2016-10-01,CN,iPhone,2,2032,1475335146,NULL,NULL,3.0,29.0,0.0,1.0,10.0,0.0,1
SNU25T-3NMWLB-9NVGKX,2016-10-01,GB,iPhone,2,981,1475350472,NULL,NULL,1.0,10.0,0.0,1.0,7.0,0.0,3
950HES-UEJFY5-NAKMPH,2016-10-02,GB,iPhone,4,1016,1475419451,NULL,NULL,4.0,14.0,0.0,2.0,4.0,0.0,7
O9NMFL-72WV48-65KQDC,2016-10-01,US,iPhone,5,5497,1475361989,1,13.59,4.0,34.0,1.0,2.0,25.0,1.0,7
LFQB8C-XA3JVM-DEFO8X,2016-10-02,US,iPhone,1,29,1475394961,NULL,NULL,0.0,1.0,0.0,0.0,0.0,0.0,1
ZFISWJ-X1FIDO-4DGSJ3,2016-10-01,TR,iPhone,1,757,1475353216,NULL,NULL,1.0,10.0,0.0,1.0,6.0,0.0,3
IN2ZJV-QNY52D-JDY0W3,2016-10-02,FR,iPhone,2,1427,1475424810,NULL,NULL,1.0,24.0,3.0,1.0,18.0,2.0,3
NU20XJ-GJZA64-HIGZX5,2016-10-02,US,iPhone,15,7984,1475434793,1,13.59,20.0,46.0,5.0,17.0,36.0,5.0,4
XL4D52-8ZJ01W-LI613V,2016-10-01,FR,iPad,2,1857,1475326646,NULL,NULL,1.0,27.0,0.0,1.0,12.0,0.0,8
TYI8O9-Y0TSID-34X0VM,2016-10-02,US,iPad,6,2059,1475442178,NULL,NULL,1.0,19.0,4.0,1.0,11.0,0.0,7
X5YFEK-N9VQDL-O1P7Q3,2016-10-02,US,iPhone,7,2494,1475420854,NULL,NULL,3.0,24.0,0.0,1.0,6.0,0.0,1
RV2QPO-5LPB3K-AEU57S,2016-10-01,GB,iPhone,3,1599,1475359495,NULL,NULL,1.0,16.0,0.0,1.0,10.0,0.0,1
QFSWZV-7PNT5J-AVXF3N,2016-10-01,TR,iPhone,2,133,1475352976,NULL,NULL,0.0,3.0,0.0,0.0,2.0,0.0,4
TADR4P-93I0X1-X68FLQ,2016-10-02,US,iPhone,8,2421,1475431244,NULL,NULL,5.0,13.0,0.0,3.0,7.0,0.0,4
BL7A6D-S9OILY-0FW8US,2016-10-01,US,iPhone,1,28,1475284340,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
F6P1CB-SCITU6-58ASCB,2016-10-02,US,iPhone,17,3108,1475446064,NULL,NULL,3.0,33.0,0.0,1.0,18.0,0.0,7
PVT719-80O2WE-T31KIU,2016-10-01,US,iPhone,8,4119,1475348964,NULL,NULL,4.0,49.0,0.0,1.0,20.0,0.0,5
YE8ITZ-26LPAW-4SIVGT,2016-10-02,US,iPod touch,1,14,1475424245,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
OG49UL-5VOKAS-EVHBL4,2016-10-02,US,iPhone,1,6,1475372513,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
BADMOK-OP0H74-JBC7RZ,2016-10-02,US,iPad,5,5266,1475433349,NULL,NULL,12.0,37.0,4.0,11.0,28.0,4.0,4
M3J1PO-V751NG-NRYFV7,2016-10-02,US,iPhone,1,367,1475438077,NULL,NULL,3.0,5.0,0.0,3.0,4.0,0.0,1
3LVHZM-FIE0LO-2KMJCO,2016-10-01,GB,iPad,4,1953,1475338280,NULL,NULL,6.0,20.0,2.0,5.0,17.0,2.0,6
UAD18M-SYEUL8-VSOIQ6,2016-10-01,BR,iPhone,5,2440,1475360994,NULL,NULL,6.0,43.0,0.0,2.0,6.0,0.0,2
4IET02-NGIRLH-USTWOV,2016-10-01,US,iPhone,1,41,1475294854,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,8
JKF13C-4AVYUI-5IJHO7,2016-10-01,US,iPhone,2,967,1475364606,NULL,NULL,3.0,9.0,0.0,3.0,8.0,0.0,5
8KSIC5-USIY06-G90LHZ,2016-10-02,US,iPad,2,1325,1475411605,NULL,NULL,16.0,18.0,0.0,10.0,5.0,0.0,1
VTL76C-7WX1I3-0JFIWN,2016-10-02,FR,iPhone,6,1616,1475418522,NULL,NULL,7.0,19.0,2.0,6.0,16.0,2.0,1
T58QWU-BLQAVN-KVCZ7B,2016-10-02,US,iPhone,1,3,1475399313,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
5L4NBK-KZ76EI-N9LQ62,2016-10-01,US,iPhone,17,2728,1475363274,NULL,NULL,15.0,22.0,3.0,11.0,21.0,3.0,5
NB3OUT-JSTR9H-TR10NH,2016-10-01,US,iPhone,1,2,1475293094,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
94U6ZJ-1OCPZD-GIOT92,2016-10-02,US,iPhone,1,33,1475429920,NULL,NULL,0.0,1.0,0.0,0.0,0.0,0.0,5
YBA1OX-0X3S61-HRB59L,2016-10-02,CN,iPhone,10,4442,1475444405,NULL,NULL,30.0,21.0,4.0,20.0,9.0,1.0,6
MH4YQB-SFLVKB-MQ7LSG,2016-10-01,US,iPhone,1,301,1475352805,NULL,NULL,1.0,6.0,0.0,1.0,5.0,0.0,1
N5YJ3S-MA8O2V-2UH6RS,2016-10-01,FR,iPad,2,704,1475342835,NULL,NULL,9.0,4.0,0.0,5.0,4.0,0.0,1
FI40P5-IGM15K-MVR5QH,2016-10-01,US,iPhone,2,1410,1475327769,NULL,NULL,2.0,9.0,0.0,1.0,9.0,0.0,1
R2ZWUH-0EGKD8-BJZLMN,2016-10-01,TR,iPhone,1,496,1475298648,NULL,NULL,1.0,10.0,0.0,1.0,7.0,0.0,1
RSLEMJ-HVC0IJ-PRIWVL,NA,US,iPhone,1,35,1475292337,NULL,NULL,0.0,1.0,0.0,0.0,0.0,0.0,1
Y10FMO-9B0N8P-M82UN5,2016-10-01,GB,iPad,6,1921,1475338270,NULL,NULL,1.0,24.0,3.0,1.0,20.0,1.0,5
N59FOW-9YKM26-R32W56,2016-10-01,TR,iPhone,1,301,1475339656,NULL,NULL,1.0,7.0,0.0,1.0,6.0,0.0,8
YBND2H-VTMLC0-LZH426,2016-10-02,US,iPhone,6,2792,1475429950,NULL,NULL,17.0,37.0,0.0,9.0,9.0,0.0,6
FDOR4K-68VP9J-P7WCNF,2016-10-02,TR,iPhone,5,2054,1475433799,NULL,NULL,2.0,28.0,0.0,1.0,13.0,0.0,6
DRGPS9-X93WVP-I7BMKX,2016-10-02,FR,iPhone,10,3464,1475433063,NULL,NULL,7.0,37.0,3.0,6.0,25.0,3.0,6
6WFVXO-YCN0TQ-G1MNL5,2016-10-02,US,iPhone,3,465,1475371901,NULL,NULL,4.0,7.0,0.0,2.0,6.0,0.0,3
26ZGR1-1JX7Y2-KGH5TV,2016-10-01,FR,iPad,2,942,1475346266,NULL,NULL,3.0,13.0,0.0,3.0,10.0,0.0,5
J62FX3-OS0TGU-RF0V8I,2016-10-01,TR,iPhone,5,3059,1475348737,NULL,NULL,13.0,20.0,0.0,5.0,7.0,0.0,3
1TY3GD-3FD7HL-L0W5JK,2016-10-02,US,iPhone,6,1885,1475432068,NULL,NULL,8.0,14.0,4.0,6.0,12.0,2.0,1
KBDMOY-DC9JVH-MYL73K,2016-10-02,US,iPod touch,5,1878,1475433285,NULL,NULL,5.0,15.0,1.0,4.0,10.0,0.0,2
ON1FSX-38CJEV-0IVTNC,2016-10-01,US,iPhone,17,6886,1475361488,10,149.49,59.0,51.0,8.0,44.0,33.0,8.0,4
OFN3LZ-EFVQI6-V7ZY81,2016-10-02,US,iPad,18,4460,1475425801,NULL,NULL,33.0,46.0,1.0,27.0,22.0,1.0,5
2LQIUN-LQOB02-47ZE6O,2016-10-02,US,iPhone,2,182,1475451758,NULL,NULL,0.0,2.0,0.0,0.0,2.0,0.0,6
SCE54V-K245CO-4EVSAW,2016-10-01,FR,iPhone,12,2840,1475351287,NULL,NULL,7.0,36.0,3.0,6.0,22.0,2.0,7
29SJFE-6MNF3D-9RSABX,2016-10-01,US,iPod touch,7,2215,1475348371,NULL,NULL,1.0,46.0,0.0,1.0,17.0,0.0,5
SOZRNK-KJHEQS-J36EQY,2016-10-01,US,iPad,1,7,1475302597,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,2
W95CX8-HNB0RX-MV4OPL,2016-10-01,US,iPhone,1,1662,1475365702,NULL,NULL,1.0,16.0,0.0,1.0,11.0,0.0,3
62SICA-AQBU8R-7TEQR3,2016-10-01,US,iPhone,1,5,1475283593,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
NI253S-NYBQZE-14O2Y3,2016-10-02,US,iPhone,5,1815,1475379104,NULL,NULL,6.0,17.0,1.0,4.0,13.0,1.0,1
USMJFY-92MYUQ-5HE82O,2016-10-02,GB,iPhone,3,1201,1475427032,NULL,NULL,1.0,14.0,0.0,1.0,10.0,0.0,5
67ZB0C-P8HCAV-ABYJW6,2016-10-01,US,iPhone,11,3147,1475336451,NULL,NULL,24.0,23.0,0.0,9.0,11.0,0.0,1
